"Date","Code","Libellé","Taux de chômage (en%)"
"T3_2009",13,"BOUCHES-DU-RHONE",11.1
"T4_2009",13,"BOUCHES-DU-RHONE",11.6
"T1_2010",13,"BOUCHES-DU-RHONE",11.3
"T2_2010",13,"BOUCHES-DU-RHONE",11.3
"T3_2010",13,"BOUCHES-DU-RHONE",11.4
"T4_2010",13,"BOUCHES-DU-RHONE",11.5
"T1_2011",13,"BOUCHES-DU-RHONE",11.4
"T2_2011",13,"BOUCHES-DU-RHONE",11.4
"T3_2011",13,"BOUCHES-DU-RHONE",11.5
"T4_2011",13,"BOUCHES-DU-RHONE",11.7
"T1_2012",13,"BOUCHES-DU-RHONE",11.7
"T2_2012",13,"BOUCHES-DU-RHONE",11.8
"T3_2012",13,"BOUCHES-DU-RHONE",11.8
"T4_2012",13,"BOUCHES-DU-RHONE",12.1
"T1_2013",13,"BOUCHES-DU-RHONE",12.3
"T2_2013",13,"BOUCHES-DU-RHONE",12.4
"T3_2013",13,"BOUCHES-DU-RHONE",12.1
"T4_2013",13,"BOUCHES-DU-RHONE",11.9
"T1_2014",13,"BOUCHES-DU-RHONE",11.9
"T2_2014",13,"BOUCHES-DU-RHONE",11.9
"T3_2014",13,"BOUCHES-DU-RHONE",12
"T4_2014",13,"BOUCHES-DU-RHONE",12.2
"T1_2015",13,"BOUCHES-DU-RHONE",12
"T2_2015",13,"BOUCHES-DU-RHONE",12.2
"T3_2015",13,"BOUCHES-DU-RHONE",12
"T4_2015",13,"BOUCHES-DU-RHONE",11.9
"T1_2016",13,"BOUCHES-DU-RHONE",11.8
"T2_2016",13,"BOUCHES-DU-RHONE",11.6
"T3_2016",13,"BOUCHES-DU-RHONE",11.5
"T4_2016",13,"BOUCHES-DU-RHONE",12
"T1_2017",13,"BOUCHES-DU-RHONE",11.5
"T2_2017",13,"BOUCHES-DU-RHONE",11.4
"T3_2017",13,"BOUCHES-DU-RHONE",11.4
"T4_2017",13,"BOUCHES-DU-RHONE",10.9
"T1_2018",13,"BOUCHES-DU-RHONE",11.3
"T2_2018",13,"BOUCHES-DU-RHONE",11
"T3_2018",13,"BOUCHES-DU-RHONE",10.8
"T4_2018",13,"BOUCHES-DU-RHONE",10.5
"T1_2019",13,"BOUCHES-DU-RHONE",10.6
"T2_2019",13,"BOUCHES-DU-RHONE",10.1
"T3_2019",13,"BOUCHES-DU-RHONE",10
"T4_2019",13,"BOUCHES-DU-RHONE",9.7
"T1_2020",13,"BOUCHES-DU-RHONE",9.4
"T2_2020",13,"BOUCHES-DU-RHONE",8.3
"T3_2020",13,"BOUCHES-DU-RHONE",10.4
"T4_2020",13,"BOUCHES-DU-RHONE",9.3
"T1_2021",13,"BOUCHES-DU-RHONE",9.5
"T2_2021",13,"BOUCHES-DU-RHONE",9.2
"T3_2021",13,"BOUCHES-DU-RHONE",9.3
"T4_2021",13,"BOUCHES-DU-RHONE",8.8
"T1_2022",13,"BOUCHES-DU-RHONE",8.8
"T2_2022",13,"BOUCHES-DU-RHONE",8.9
"T3_2022",13,"BOUCHES-DU-RHONE",8.8
"T4_2022",13,"BOUCHES-DU-RHONE",8.6
"T1_2023",13,"BOUCHES-DU-RHONE",8.5
"T2_2023",13,"BOUCHES-DU-RHONE",8.5
"T3_2023",13,"BOUCHES-DU-RHONE",8.7
"T4_2023",13,"BOUCHES-DU-RHONE",8.7
"T1_2024",13,"BOUCHES-DU-RHONE",8.7
